height_cm,commute_min,phone_hours
174.0,26.0,8.6
152.0,16.0,6.6
161.0,61.0,4.4
173.0,25.0,5.2
167.0,16.0,7.6
160.0,33.0,6.3
167.0,14.0,5.5
165.0,120.0,4.1
161.0,14.0,7.4
160.0,42.0,7.3
169.0,25.0,6.8
163.0,22.0,5.2
151.0,18.0,6.9
,10.0,5.6
163.0,20.0,4.5
163.0,17.0,6.7
167.0,7.0,8.1
162.0,41.0,6.9
167.0,13.0,3.6
170.0,12.0,9.2
160.0,37.0,6.1
163.0,24.0,7.4
169.0,15.0,14.5
170.0,33.0,7.2
167.0,31.0,5.4
167.0,15.0,4.8
166.0,23.0,3.7
158.0,18.0,5.1
168.0,26.0,6.7
170.0,54.0,5.7
166.0,15.0,9.1
168.0,18.0,6.0
169.0,19.0,6.2
178.0,13.0,8.0
158.0,30.0,6.0
