Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.0,0.0126,-0.0302,0.0225
0.02,0.0198,-0.0265,0.0235
0.04,0.0302,0.0142,-0.0336
0.06,0.0293,-0.0321,-0.0086
0.08,0.035,-0.0091,0.0228
0.1,-0.0333,0.0388,0.0079
0.12,-0.0012,-0.0463,0.0106
0.14,0.039,-0.007,0.0971
0.16,0.0148,-0.0351,0.0254
0.18,0.0036,-0.0204,0.0185
0.2,-0.0211,-0.0309,0.002
0.22,0.0634,-0.0161,-0.0398
0.24,-0.0029,-0.0626,0.0125
0.26,0.0267,-0.005,0.0113
0.28,-0.0363,-0.0441,-0.0169
0.3,-0.0186,-0.0289,0.0445
0.32,-0.052,-0.0152,0.0218
0.34,0.0012,-0.0458,0.0233
0.36,0.0542,-0.0222,-0.0029
0.38,0.0242,-0.0647,0.0074
0.4,0.0003,0.0046,0.034
0.42,-0.0365,0.0024,0.0172
0.44,0.0013,-0.0144,-0.0097
0.46,0.0179,-0.0158,-0.0141
0.48,0.0474,-0.0283,0.0027
0.5,0.002,-0.0718,0.036
0.52,-0.0164,-0.0394,-0.0393
0.54,0.0408,0.0237,0.0015
0.56,0.0224,-0.0384,0.0451
0.58,0.0033,-0.0682,0.0069
0.6,0.0477,0.0092,0.0564
0.62,0.0388,-0.0514,-0.0205
0.64,0.062,-0.0348,0.0087
0.66,-0.013,-0.031,0.0141
0.68,-0.0133,-0.0216,0.0804
0.7,0.0523,0.0037,0.0188
0.72,0.0227,0.0032,0.0127
0.74,-0.0407,-0.0527,0.0355
0.76,0.0235,-0.0226,0.0025
0.78,0.037,0.0221,0.0229
0.8,0.0387,-0.0173,0.0345
0.82,-0.0065,-0.0214,0.0339
0.84,-0.0435,-0.013,0.0472
0.86,-0.0122,-0.0458,0.0477
0.88,0.018,-0.0152,0.0213
0.9,0.0274,-0.0143,0.038
0.92,-0.0059,-0.0459,0.0595
0.94,0.0202,-0.0051,0.0119
0.96,0.0446,-0.004,-0.0011
0.98,-0.029,0.0006,0.0751
1.0,0.0135,-0.02,-0.0175
1.02,-0.0296,-0.039,0.0319
1.04,0.0609,0.0295,0.0023
1.06,0.0214,-0.0321,0.0543
